Frame id: 29353, timestamp: 1665156415891228, hands: 1, fingers: 5, palm position: (5.66569, 108.057, 39.744), pinch strength: 1
Frame id: 29354, timestamp: 1665156415899916, hands: 1, fingers: 5, palm position: (7.99713, 110.834, 39.4074), pinch strength: 1
Frame id: 29355, timestamp: 1665156415908613, hands: 1, fingers: 5, palm position: (10.9032, 114.27, 40.06), pinch strength: 1
Frame id: 29356, timestamp: 1665156415917266, hands: 1, fingers: 5, palm position: (13.766, 116.695, 40.2189), pinch strength: 1
Frame id: 29357, timestamp: 1665156415925932, hands: 1, fingers: 5, palm position: (16.3426, 118.674, 40.0014), pinch strength: 1
Frame id: 29358, timestamp: 1665156415934634, hands: 1, fingers: 5, palm position: (18.9958, 120.16, 40.0027), pinch strength: 1
Frame id: 29359, timestamp: 1665156415943255, hands: 1, fingers: 5, palm position: (21.4489, 121.736, 39.8233), pinch strength: 0.996188
Frame id: 29360, timestamp: 1665156415951938, hands: 1, fingers: 5, palm position: (24.0939, 122.558, 40.1564), pinch strength: 0.938478
Frame id: 29361, timestamp: 1665156415960604, hands: 1, fingers: 5, palm position: (26.4111, 123.749, 39.8703), pinch strength: 0.883004
Frame id: 29362, timestamp: 1665156415969276, hands: 1, fingers: 5, palm position: (28.6841, 124.582, 39.726), pinch strength: 0.828844
Frame id: 29363, timestamp: 1665156415977985, hands: 1, fingers: 5, palm position: (31.0941, 125.68, 40.9095), pinch strength: 0.792566
Frame id: 29364, timestamp: 1665156415986650, hands: 1, fingers: 5, palm position: (33.8962, 126.444, 42.0301), pinch strength: 0.783824
Frame id: 29365, timestamp: 1665156415995333, hands: 1, fingers: 5, palm position: (36.4709, 127.066, 42.7312), pinch strength: 0.775947
Frame id: 29366, timestamp: 1665156416004025, hands: 1, fingers: 5, palm position: (39.0403, 127.002, 42.9614), pinch strength: 0.76958
Frame id: 29367, timestamp: 1665156416012728, hands: 1, fingers: 5, palm position: (42.1683, 128.558, 45.0273), pinch strength: 0.764022
Frame id: 29368, timestamp: 1665156416021412, hands: 1, fingers: 5, palm position: (44.5213, 127.623, 45.7501), pinch strength: 0.759186
Frame id: 29369, timestamp: 1665156416030132, hands: 1, fingers: 5, palm position: (45.8808, 128.476, 45.4232), pinch strength: 0.756301
Frame id: 29370, timestamp: 1665156416038753, hands: 1, fingers: 5, palm position: (46.7997, 128.55, 46.1593), pinch strength: 0.748588
Frame id: 29371, timestamp: 1665156416047461, hands: 1, fingers: 5, palm position: (46.9804, 128.64, 46.6006), pinch strength: 0.748472
Frame id: 29372, timestamp: 1665156416056173, hands: 1, fingers: 5, palm position: (47.6922, 128.48, 47.0776), pinch strength: 0.750536
Frame id: 29373, timestamp: 1665156416082039, hands: 1, fingers: 5, palm position: (57.8228, 136.262, 56.4064), pinch strength: 0.769062
Frame id: 29374, timestamp: 1665156416090757, hands: 1, fingers: 5, palm position: (60.6533, 138.407, 59.3741), pinch strength: 0.774207
Frame id: 29375, timestamp: 1665156416099513, hands: 1, fingers: 5, palm position: (63.8211, 140.86, 62.964), pinch strength: 0.784545
Frame id: 29376, timestamp: 1665156416108126, hands: 1, fingers: 5, palm position: (68.6333, 143.59, 63.5531), pinch strength: 0.792038
Frame id: 29377, timestamp: 1665156416116739, hands: 1, fingers: 5, palm position: (71.6915, 146.331, 68.5122), pinch strength: 0.807806
Frame id: 29378, timestamp: 1665156416125420, hands: 1, fingers: 5, palm position: (73.8983, 148.097, 71.9925), pinch strength: 0.824108
Frame id: 29379, timestamp: 1665156416134380, hands: 1, fingers: 5, palm position: (76.2796, 151.334, 67.7699), pinch strength: 0.997541
Frame id: 29380, timestamp: 1665156416142753, hands: 1, fingers: 5, palm position: (79.6785, 154.911, 72.4197), pinch strength: 1
Frame id: 29381, timestamp: 1665156416151426, hands: 1, fingers: 5, palm position: (83.3988, 159.154, 78.6157), pinch strength: 1
Frame id: 29382, timestamp: 1665156416160248, hands: 1, fingers: 5, palm position: (85.6103, 162.382, 84.9118), pinch strength: 1
Frame id: 29383, timestamp: 1665156416168773, hands: 1, fingers: 5, palm position: (86.9647, 163.914, 88.5306), pinch strength: 1
Frame id: 29384, timestamp: 1665156416177775, hands: 1, fingers: 5, palm position: (91.4485, 169.135, 95.0883), pinch strength: 1
Frame id: 29385, timestamp: 1665156416186165, hands: 1, fingers: 5, palm position: (93.612, 170.989, 96.5178), pinch strength: 1
Frame id: 29386, timestamp: 1665156416194877, hands: 1, fingers: 5, palm position: (93.7335, 171.468, 95.6289), pinch strength: 1
Frame id: 29387, timestamp: 1665156416203460, hands: 1, fingers: 5, palm position: (93.5719, 171.453, 95.1358), pinch strength: 1
Frame id: 29388, timestamp: 1665156416212229, hands: 1, fingers: 5, palm position: (96.0094, 175.67, 96.1505), pinch strength: 1
Frame id: 29389, timestamp: 1665156416220819, hands: 1, fingers: 5, palm position: (99.4342, 179.837, 99.0418), pinch strength: 1
Frame id: 29390, timestamp: 1665156416229480, hands: 1, fingers: 5, palm position: (100.402, 179.368, 103.734), pinch strength: 1
Frame id: 29391, timestamp: 1665156416238215, hands: 1, fingers: 5, palm position: (103.368, 179.707, 107.465), pinch strength: 1
Frame id: 29392, timestamp: 1665156416246959, hands: 1, fingers: 5, palm position: (105.503, 179.376, 110.379), pinch strength: 1
Frame id: 29393, timestamp: 1665156416255554, hands: 1, fingers: 5, palm position: (108.752, 180.806, 114.484), pinch strength: 1
Frame id: 29394, timestamp: 1665156416264285, hands: 1, fingers: 5, palm position: (111.742, 183.345, 118.637), pinch strength: 1
Frame id: 29395, timestamp: 1665156416272906, hands: 1, fingers: 5, palm position: (113.863, 185.99, 121.577), pinch strength: 1
Frame id: 29396, timestamp: 1665156416281520, hands: 1, fingers: 5, palm position: (114.729, 189.595, 124.092), pinch strength: 1
Frame id: 29397, timestamp: 1665156416290175, hands: 1, fingers: 5, palm position: (114.1, 193.135, 126.5), pinch strength: 1
Frame id: 29398, timestamp: 1665156416298906, hands: 0, fingers: 0, palm position: (0, 0, 0), pinch strength: 0
Frame id: 29399, timestamp: 1665156416307539, hands: 0, fingers: 0, palm position: (0, 0, 0), pinch strength: 0
Frame id: 29400, timestamp: 1665156416316256, hands: 0, fingers: 0, palm position: (0, 0, 0), pinch strength: 0
Frame id: 29401, timestamp: 1665156416324884, hands: 0, fingers: 0, palm position: (0, 0, 0), pinch strength: 0
Frame id: 29402, timestamp: 1665156416333630, hands: 0, fingers: 0, palm position: (0, 0, 0), pinch strength: 0
Frame id: 29403, timestamp: 1665156416342193, hands: 0, fingers: 0, palm position: (0, 0, 0), pinch strength: 0
